0005 枯れた竹 かれたたけ
3393 ミックスソフトクリーム みっくすそふとくりーむ
3394 バニラアイスクリーム ばにらあいすくりーむ
3395 いちごアイスクリーム いちごあいすくりーむ
3396 レモンダブルアイス れもんだぶるあいす
3397 ミントダブルアイス みんとだぶるあいす
3398 青いスティックライト あおいすてぃっくらいと
3399 緑のスティックライト みどりのすてぃっくらいと
339A ピンクのスティックライト ぴんくのすてぃっくらいと
339B 黄色いスティックライト きいろいすてぃっくらいと
339C 花の妖精のステッキ はなのようせいのすてっき
339D キキ&ララなステッキ きき&ららなすてっき
339E ふきもどし ふきもどし
339F おき花火 おきはなび
33A0 花火のもえかす はなびのもえかす
33A1 サンタの袋 さんたのふくろ
33A2 謎の袋 なぞのふくろ
33A3 普通のコーヒー豆 ふつうのこーひーまめ
33A4 よいコーヒー豆 よいこーひーまめ
33A5 とてもよいコーヒー豆 とてもよいこーひーまめ
33A6 コインチョコ こいんちょこ
33A7 特別注文(服) とくべつちゅうもん(ふく)
33A8 特別注文(イーゼル) とくべつちゅうもん(いーぜる)
33A9 特別注文(フレーム) とくべつちゅうもん(ふれーむ)
33AA 特別注文(かさ) とくべつちゅうもん(かさ)
33AB 特別注文(男の子の帽子) とくべつちゅうもん(おとこのこのぼうし)
33AC 特別注文(女の子の帽子) とくべつちゅうもん(おんなのこのぼうし)
33AD 特別注文(帽子) とくべつちゅうもん(ぼうし)
33AE 特別注文(トップス) とくべつちゅうもん(とっぷす)
33AF 特別注文(ノースリーブ) とくべつちゅうもん(のーすりーぶ)
33B0 特別注文(プロデザイン) とくべつちゅうもん(ぷろでざいん)
33B1 特別注文(長そでワンピ) とくべつちゅうもん(ながそでわんぴ)
33B2 特別注文(そで無ワンピ) とくべつちゅうもん(そでなしわんぴ)
33B3 特別注文(ワンピース) とくべつちゅうもん(わんぴーす)
33B4 特別注文(ながそで) とくべつちゅうもん(ながそで)
33B5 特別注文(かけるシャツ) とくべつちゅうもん(かけるしゃつ)
33B6 特別注文(ノースリーブ) とくべつちゅうもん(のーすりーぶ)
33B7 特別注文(ハンガーシャツ) とくべつちゅうもん(はんがーしゃつ)
33B8 特別注文(ながそでシャツ) とくべつちゅうもん(ながそでしゃつ)
33B9 特別注文(ノースリーブ) とくべつちゅうもん(のーすりーぶ)
33BA 特別注文(ドレス) とくべつちゅうもん(どれす)
33BB 特別注文(ながそで服) とくべつちゅうもん(ながそでふく)
33BC 署名用紙 しょめいようし
33BD 無限署名用紙 むげんしょめいようし
33BE 紙くず かみくず
33BF 落としもの(本) おとしもの(ほん)
33C0 落としもの(ポーチ) おとしもの(ぽーち)
33C1 落としもの(手袋) おとしもの(てぶくろ)
33C2 落としもの(紙袋) おとしもの(かみぶくろ)
33C3 本 ほん
33C4 ポーチ ぽーち
33C5 手袋のかたわれ てぶくろのかたわれ
33C6 紙袋 かみぶくろ
33C7 顔ふきタオル かおふきたおる
33C8 フォーチュンクッキー ふぉーちゅんくっきー
33C9 おみくじ1ばん おみくじ1ばん
33CA おみくじ2ばん おみくじ2ばん
33CB おみくじ3ばん おみくじ3ばん
33CC おみくじ46ばん おみくじ46ばん
33CD おみくじ5ばん おみくじ5ばん
33CE おみくじ49ばん おみくじ49ばん
33CF おみくじ7ばん おみくじ7ばん
33D0 おみくじ8ばん おみくじ8ばん
33D1 おみくじ9ばん おみくじ9ばん
33D2 おみくじ10ばん おみくじ10ばん
33D3 おみくじ11ばん おみくじ11ばん
33D4 おみくじ12ばん おみくじ12ばん
33D5 おみくじ13ばん おみくじ13ばん
33D6 おみくじ14ばん おみくじ14ばん
33D7 おみくじ15ばん おみくじ15ばん
33D8 おみくじ50ばん おみくじ50ばん
33D9 おみくじ17ばん おみくじ17ばん
33DA おみくじ18ばん おみくじ18ばん
33DB おみくじ19ばん おみくじ19ばん
33DC おみくじ20ばん おみくじ20ばん
33DD おみくじ21ばん おみくじ21ばん
33DE おみくじ22ばん おみくじ22ばん
33DF おみくじ23ばん おみくじ23ばん
33E0 おみくじ24ばん おみくじ24ばん
33E1 おみくじ25ばん おみくじ25ばん
33E2 おみくじ26ばん おみくじ26ばん
33E3 おみくじ27ばん おみくじ27ばん
33E4 おみくじ28ばん おみくじ28ばん
33E5 おみくじ29ばん おみくじ29ばん
33E6 おみくじ48ばん おみくじ48ばん
33E7 おみくじ31ばん おみくじ31ばん
33E8 おみくじ32ばん おみくじ32ばん
33E9 おみくじ33ばん おみくじ33ばん
33EA おみくじ34ばん おみくじ34ばん
33EB おみくじ35ばん おみくじ35ばん
33EC おみくじ36ばん おみくじ36ばん
33ED おみくじ37ばん おみくじ37ばん
33EE おみくじ47ばん おみくじ47ばん
33EF おみくじ39ばん おみくじ39ばん
33F0 おみくじ40ばん おみくじ40ばん
33F1 おみくじ41ばん おみくじ41ばん
33F2 おみくじ42ばん おみくじ42ばん
33F3 おみくじ43ばん おみくじ43ばん
33F4 おみくじ44ばん おみくじ44ばん
33F5 おみくじ45ばん おみくじ45ばん
33F6 おみくじ4ばん おみくじ4ばん
33F7 おみくじ38ばん おみくじ38ばん
33F8 おみくじ30ばん おみくじ30ばん
33F9 おみくじ6ばん おみくじ6ばん
33FA おみくじ16ばん おみくじ16ばん
33FB おみくじ51ばん おみくじ51ばん
33FC おみくじ52ばん おみくじ52ばん
33FD おみくじ53ばん おみくじ53ばん
33FE おみくじ54ばん おみくじ54ばん
33FF おみくじ55ばん おみくじ55ばん
3400 おみくじ56ばん おみくじ56ばん
3401 おみくじ57ばん おみくじ57ばん
3402 いなりくじ いなりくじ
3403 いなりくじ.ハズレ いなりくじはずれ
3404 いなりくじ.A いなりくじA
3405 いなりくじ.B いなりくじB
3406 いなりくじ.C いなりくじC
3407 いなりくじ.D いなりくじD
3408 いなりくじ.E いなりくじE
3409 いなりくじ.F いなりくじF
340A いなりくじ.G いなりくじG
340B いなりくじ.H いなりくじH
340C 謎のバッジ(どう) なぞのばっじ(どう)
340D 謎のバッジ(銀) なぞのばっじ(ぎん)
340E 謎のバッジ(金) なぞのばっじ(きん)
340F 謎の地図 なぞのちず
3410 謎のソパカ なぞのそぱか
3411 謎の本 なぞのほん
3412 謎の手紙 なぞのてがみ
3413 謎の種 なぞのたね
3414 謎の苗1 なぞのなえ1
3415 謎の苗2 なぞのなえ2
3416 謎の苗3 なぞのなえ3
3417 謎の袋1(金トロフィ) なぞのふくろ1きんとろふぃー
3418 謎の袋2(銀トロフィ) なぞのふくろ2ぎんとろふぃー
3419 謎の袋3(どうトロフィ) なぞのふくろ3どうとろふぃー
341A ビンゴカード びんごかーど
341B 期限切れのビンゴカード きげんぎれのびんごかーど
341C タイムカプセル たいむかぷせる
341D 借り物リスト かりものりすと
341E 謎の手紙 なぞのてがみ
341F 謎の赤い花 なぞのあかいはな
3420 謎の白い花 なぞのしろいはな
3421 謎の黄色い花 なぞのきいろいはな
3422 謎のチューリップ なぞのちゅーりっぷ
3423 謎のパンジー なぞのぱんじー
3424 謎のコスモス なぞのこすもす
3425 謎のバラ なぞのばら
3426 赤いポスト あかいぽすと
3427 金属のポスト きんぞくのぽすと
3428 青いポスト あおいぽすと
3429 黄色いポスト きいろいぽすと
342A オレンジのポスト おれんじのぽすと
342B 緑のポスト みどりのぽすと
342C 黄金のポスト おうごんのぽすと
342D 木のポスト きのぽすと
342E 白いポスト しろいぽすと
342F ピンクのポスト ぴんくのぽすと
3430 和風なポスト わふうなぽすと
3431 しょぼいポスト しょぼいぽすと
3432 ステンレスなポスト すてんれすなぽすと
3433 四角いポスト しかくいぽすと
3434 水色のポスト みずいろのぽすと
3435 わかばいろのポスト わかばいろのぽすと
3436 マーメイドなポスト まーめいどなぽすと
3437 リゾートなポスト りぞーとなぽすと
3438 メルヘンなポスト めるへんなぽすと
3439 ロイヤルなポスト ろいやるなぽすと
343A たるのポスト たるのぽすと
343B おかしのポスト おかしのぽすと
343C 丸窓の丸ドア まるまどのまるどあ
343D サカナ窓の丸ドア さかなまどのまるどあ
343E 近未来の丸ドア きんみらいのまるどあ
343F 窓付きの丸ドア まどつきのまるどあ
3440 アラブな黄色丸ドア あらぶなきいろまるどあ
3441 鉄の丸ドア てつのまるどあ
3442 ボロい丸ドア ぼろいまるどあ
3443 おかしの丸ドア おかしのまるどあ
3444 マーメイドな丸ドア まーめいどなまるどあ
3445 和風な丸ドア わふうなまるどあ
3446 ログハウスの丸ドア ろぐはうすのまるどあ
3447 メルヘンな丸ドア めるへんなまるどあ
3448 茶色い丸ドア ちゃいろいまるどあ
3449 アラブな緑丸ドア あらぶなみどりまるどあ
344A 重い丸ドア おもいまるどあ
344B 青いメルヘンな丸ドア あおいめるへんなまるどあ
344C ベージュの丸ドア べーじゅのまるどあ
344D 中華な丸ドア ちゅうかなまるどあ
344E ピンクの丸ドア ぴんくのまるどあ
344F カラフルな丸ドア からふるなまるどあ
3450 竹の丸ドア たけのまるどあ
3451 黄金のドア おうごんのどあ
3452 四角い丸窓のドア しかくいまるまどのどあ
3453 四角いサカナ窓のドア しかくいさかなまどのどあ
